id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
1dd-bikaji-sab-kuch-navratna-mixture-200g-r128,Bikaji | Sab Kuch | 200g,Bikaji | Sab Kuch | 200g. Fresh quality namkeen & snacks available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-bikaji-sab-kuch-navratna-mixture-200g-r128,https://1dd.web.app/images/products/Bikaji%20%7C%20Sab%20Kuch%20%7C%20200g.png,Bikaji,"Food, Beverages & Tobacco > Food Items > Snack Foods > Chips, Pretzels & Puffs",
1dd-anmol-khasta-crispy-biscuits-r113,Biscuit | Anmol (Khasta) | Standard,Biscuit | Anmol (Khasta) | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-anmol-khasta-crispy-biscuits-r113,https://1dd.web.app/images/products/Biscuit%20%7C%20Anmol%20(Khasta)%20%7C%20Standard.jpg,Anmol,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-anmol-salty-crispy-biscuits-r111,Biscuit | Anmol (Salty) | Standard,Biscuit | Anmol (Salty) | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-anmol-salty-crispy-biscuits-r111,https://1dd.web.app/images/products/Biscuit%20%7C%20Anmol%20(Salty)%20%7C%20Standard.png,Anmol,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-anmol-sugarfree-crispy-biscuits-r114,Biscuit | Anmol (SugarFree) | Standard,Biscuit | Anmol (SugarFree) | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-anmol-sugarfree-crispy-biscuits-r114,https://1dd.web.app/images/products/Biscuit%20%7C%20Anmol%20(SugarFree)%20%7C%20Standard.jpg,Anmol,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-anmol-sweet-crispy-biscuits-r112,Biscuit | Anmol (Sweet) | Standard,Biscuit | Anmol (Sweet) | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-anmol-sweet-crispy-biscuits-r112,https://1dd.web.app/images/products/Biscuit%20%7C%20Anmol%20(Sweet)%20%7C%20Standard.jpg,Anmol,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-good-day-rich-butter-cookies-family-pack-r115,Biscuit | Britannia Good Day | Standard,Biscuit | Britannia Good Day | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-britannia-good-day-rich-butter-cookies-family-pack-r115,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20Good%20Day%20%7C%20Standard.jpg,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-marie-gold-tea-biscuits-big-pack-r109,Biscuit | Britannia Marie Gold | Big,Biscuit | Britannia Marie Gold | Big. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-britannia-marie-gold-tea-biscuits-big-pack-r109,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20Marie%20Gold%20%7C%20Big.png,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-marie-gold-tea-biscuits-small-pack-r108,Biscuit | Britannia Marie Gold | Small,Biscuit | Britannia Marie Gold | Small. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹10.,in stock,new,10.00 INR,https://1dd.web.app/?item=1dd-britannia-marie-gold-tea-biscuits-small-pack-r108,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20Marie%20Gold%20%7C%20Small.webp,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-nutrichoice-digestive-high-fibre-biscuits-big-r118,Biscuit | Britannia NutriChoice | Big,Biscuit | Britannia NutriChoice | Big. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹50.,in stock,new,50.00 INR,https://1dd.web.app/?item=1dd-britannia-nutrichoice-digestive-high-fibre-biscuits-big-r118,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20NutriChoice%20%7C%20Big.jpg,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-nutrichoice-digestive-high-fibre-biscuits-small-r117,Biscuit | Britannia NutriChoice | Small,Biscuit | Britannia NutriChoice | Small. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-britannia-nutrichoice-digestive-high-fibre-biscuits-small-r117,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20NutriChoice%20%7C%20Small.png,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-toastea-premium-crispy-bake-rusk-r121,Biscuit | Britannia Premium Rusk | Standard,Biscuit | Britannia Premium Rusk | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-britannia-toastea-premium-crispy-bake-rusk-r121,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20Premium%20Rusk%20%7C%20Standard.jpg,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-britannia-top-gold-butter-crackers-standard-r110,Biscuit | Britannia Top Gold | Standard,Biscuit | Britannia Top Gold | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹30.,in stock,new,30.00 INR,https://1dd.web.app/?item=1dd-britannia-top-gold-butter-crackers-standard-r110,https://1dd.web.app/images/products/Biscuit%20%7C%20Britannia%20Top%20Gold%20%7C%20Standard.jpg,Britannia,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-malkist-crunchy-cheese-butter-crackers-r116,Biscuit | Malkist | Standard,Biscuit | Malkist | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹55.,in stock,new,55.00 INR,https://1dd.web.app/?item=1dd-malkist-crunchy-cheese-butter-crackers-r116,https://1dd.web.app/images/products/Biscuit%20%7C%20Malkist%20%7C%20Standard.jpg,Malkist,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-parle-g-original-gluco-biscuits-standard-r120,Biscuit | Parle-G | Standard,Biscuit | Parle-G | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹10.,in stock,new,10.00 INR,https://1dd.web.app/?item=1dd-parle-g-original-gluco-biscuits-standard-r120,https://1dd.web.app/images/products/Biscuit%20%7C%20Parle-G%20%7C%20Standard.jpg,Parle,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-crispy-sweet-toast-rusk-sweet-r119,Biscuit | Sweet Toast Rusk | Standard,Biscuit | Sweet Toast Rusk | Standard. Fresh quality biscuits & bakery available for fast 1-day home delivery across town at best price ₹50.,in stock,new,50.00 INR,https://1dd.web.app/?item=1dd-crispy-sweet-toast-rusk-sweet-r119,https://1dd.web.app/images/products/Biscuit%20%7C%20Sweet%20Toast%20Rusk%20%7C%20Standard.jpg,Bakery Fresh,"Food, Beverages & Tobacco > Food Items > Snack Foods > Cookies & Biscuits",
1dd-cycle-fragrant-agarbatti-incense-sticks-1-dozen-r49,Dhup | Cycle Pure | 1 Dozen,Dhup | Cycle Pure | 1 Dozen. Fresh quality incense & agarbatti available for fast 1-day home delivery across town at best price ₹100.,in stock,new,100.00 INR,https://1dd.web.app/?item=1dd-cycle-fragrant-agarbatti-incense-sticks-1-dozen-r49,https://1dd.web.app/images/products/Dhup%20%7C%20Cycle%20Pure%20%7C%201%20Dozen.jpeg,Cycle,Home & Garden > Decor > Home Fragrances > Incense,
1dd-zed-black-premium-agarbatti-incense-sticks-1-packet-r50,Dhup | Zed Black | 1 Packet,Dhup | Zed Black | 1 Packet. Fresh quality incense & agarbatti available for fast 1-day home delivery across town at best price ₹10.,in stock,new,10.00 INR,https://1dd.web.app/?item=1dd-zed-black-premium-agarbatti-incense-sticks-1-packet-r50,https://1dd.web.app/images/products/Dhup%20%7C%20Zed%20Black%20%7C%201%20Packet.jpeg,Zed Black,Home & Garden > Decor > Home Fragrances > Incense,
1dd-disposable-paper-curry-bowls-bati-25-pieces-r86,Disposable | Bati | 25 pieces,Disposable | Bati | 25 pieces. Fresh quality disposable tableware available for fast 1-day home delivery across town at best price ₹30.,in stock,new,30.00 INR,https://1dd.web.app/?item=1dd-disposable-paper-curry-bowls-bati-25-pieces-r86,https://1dd.web.app/images/products/Disposable%20%7C%20Bati%20%7C%2025%20pieces.jpg,Party Choice,Home & Garden > Kitchen & Dining > Disposable Tableware,
1dd-disposable-paper-tea-coffee-cups-50-pieces-r85,Disposable | Coffee Cup | 50 pieces,Disposable | Coffee Cup | 50 pieces. Fresh quality disposable tableware available for fast 1-day home delivery across town at best price ₹25.,in stock,new,25.00 INR,https://1dd.web.app/?item=1dd-disposable-paper-tea-coffee-cups-50-pieces-r85,https://1dd.web.app/images/products/Disposable%20%7C%20Coffee%20Cup%20%7C%2050%20pieces.jpg,Party Choice,Home & Garden > Kitchen & Dining > Disposable Tableware,
1dd-disposable-paper-party-plates-dishes-16p-r84,Disposable | Dish | 16p,Disposable | Dish | 16p. Fresh quality disposable tableware available for fast 1-day home delivery across town at best price ₹25.,in stock,new,25.00 INR,https://1dd.web.app/?item=1dd-disposable-paper-party-plates-dishes-16p-r84,https://1dd.web.app/images/products/Disposable%20%7C%20Dish%20%7C%2016p.jpg,Party Choice,Home & Garden > Kitchen & Dining > Disposable Tableware,
1dd-disposable-transparent-drinking-glasses-70p-r83,Disposable | Glass | 70p,Disposable | Glass | 70p. Fresh quality disposable tableware available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-disposable-transparent-drinking-glasses-70p-r83,https://1dd.web.app/images/products/Disposable%20%7C%20Glass%20%7C%2070p.jpg,Party Choice,Home & Garden > Kitchen & Dining > Disposable Tableware,
1dd-pure-distilled-inverter-battery-water-750ml-r98,Distilled Water | Battery Water | 750ml,Distilled Water | Battery Water | 750ml. Fresh quality home & hygiene available for fast 1-day home delivery across town at best price ₹15.,in stock,new,15.00 INR,https://1dd.web.app/?item=1dd-pure-distilled-inverter-battery-water-750ml-r98,https://1dd.web.app/images/products/Distilled%20Water%20%7C%20Battery%20Water%20%7C%20750ml.jpg,BatteryCare,Home & Garden > Household Supplies > Household Cleaning Supplies,
1dd-fresh-farm-chicken-eggs-tray-of-30-eggs-1-plate-r52,Egg | Farm Fresh | 1Plate,Egg | Farm Fresh | 1Plate. Fresh quality dairy & eggs available for fast 1-day home delivery across town at best price ₹210.,in stock,new,210.00 INR,https://1dd.web.app/?item=1dd-fresh-farm-chicken-eggs-tray-of-30-eggs-1-plate-r52,https://1dd.web.app/images/products/Egg%20%7C%20Farm%20Fresh%20%7C%201Plate.jpg,Farm Fresh,"Food, Beverages & Tobacco > Dairy Products > Eggs",
1dd-fresh-farm-chicken-eggs-pack-of-4-2-pairs-r53,Egg | Farm Fresh | 4 Pieces (১ হাল),Egg | Farm Fresh | 4 Pieces (১ হাল). Fresh quality dairy & eggs available for fast 1-day home delivery across town at best price ₹15.,in stock,new,15.00 INR,https://1dd.web.app/?item=1dd-fresh-farm-chicken-eggs-pack-of-4-2-pairs-r53,https://1dd.web.app/images/products/Egg%20%7C%20Farm%20Fresh%20%7C%204%20Pieces%20(%E0%A7%A7%20%E0%A6%B9%E0%A6%BE%E0%A6%B2).jpg,Farm Fresh,"Food, Beverages & Tobacco > Dairy Products > Eggs",
1dd-annapurna-pure-desi-cow-ghee-100g-r93,Ghee | Annapurna | 100g,Ghee | Annapurna | 100g. Fresh quality pure ghee available for fast 1-day home delivery across town at best price ₹90.,in stock,new,90.00 INR,https://1dd.web.app/?item=1dd-annapurna-pure-desi-cow-ghee-100g-r93,https://1dd.web.app/images/products/Ghee%20%7C%20Annapurna%20%7C%20100g.jpg,Annapurna,"Food, Beverages & Tobacco > Dairy Products > Butter & Margarine",
1dd-annapurna-pure-desi-cow-ghee-250-g-r94,Ghee | Annapurna | 250 g,Ghee | Annapurna | 250 g. Fresh quality pure ghee available for fast 1-day home delivery across town at best price ₹200.,in stock,new,200.00 INR,https://1dd.web.app/?item=1dd-annapurna-pure-desi-cow-ghee-250-g-r94,https://1dd.web.app/images/products/Ghee%20%7C%20Annapurna%20%7C%20250%20g.jpg,Annapurna,"Food, Beverages & Tobacco > Dairy Products > Butter & Margarine",
1dd-annapurna-pure-desi-cow-ghee-500g-r95,Ghee | Annapurna | 500g,Ghee | Annapurna | 500g. Fresh quality pure ghee available for fast 1-day home delivery across town at best price ₹400.,in stock,new,400.00 INR,https://1dd.web.app/?item=1dd-annapurna-pure-desi-cow-ghee-500g-r95,https://1dd.web.app/images/products/Ghee%20%7C%20Annapurna%20%7C%20500g.jpg,Annapurna,"Food, Beverages & Tobacco > Dairy Products > Butter & Margarine",
1dd-annapurna-pure-desi-cow-ghee-50g-r92,Ghee | Annapurna | 50g,Ghee | Annapurna | 50g. Fresh quality pure ghee available for fast 1-day home delivery across town at best price ₹50.,in stock,new,50.00 INR,https://1dd.web.app/?item=1dd-annapurna-pure-desi-cow-ghee-50g-r92,https://1dd.web.app/images/products/Ghee%20%7C%20Annapurna%20%7C%2050g.jpg,Annapurna,"Food, Beverages & Tobacco > Dairy Products > Butter & Margarine",
1dd-kabuli-chana-white-chickpeas-chhole-1-kg-r19,Grams | Kabuli Chana | 1 kg,Grams | Kabuli Chana | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹120.,in stock,new,120.00 INR,https://1dd.web.app/?item=1dd-kabuli-chana-white-chickpeas-chhole-1-kg-r19,https://1dd.web.app/images/products/Grams%20%7C%20Kabuli%20Chana%20%7C%201%20kg.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-kala-chana-boot-brown-chickpeas-1-kg-r17,Grams | Kala Chana (কলা বুট) | 1 kg,Grams | Kala Chana (কলা বুট) | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹85.,in stock,new,85.00 INR,https://1dd.web.app/?item=1dd-kala-chana-boot-brown-chickpeas-1-kg-r17,https://1dd.web.app/images/products/Grams%20%7C%20Kala%20Chana%20(%E0%A6%95%E0%A6%B2%E0%A6%BE%20%E0%A6%AC%E0%A7%81%E0%A6%9F)%20%7C%201%20kg.jpeg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-kashmiri-red-rajma-kidney-beans-1-kg-r20,Grams | Kashmiri Rajma | 1 kg,Grams | Kashmiri Rajma | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹150.,in stock,new,150.00 INR,https://1dd.web.app/?item=1dd-kashmiri-red-rajma-kidney-beans-1-kg-r20,https://1dd.web.app/images/products/Grams%20%7C%20Kashmiri%20Rajma%20%7C%201%20kg.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-lobia-chawli-black-eyed-peas-1-kg-r22,Grams | Lobia (লবিয়া) | 1 kg,Grams | Lobia (লবিয়া) | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹120.,in stock,new,120.00 INR,https://1dd.web.app/?item=1dd-lobia-chawli-black-eyed-peas-1-kg-r22,https://1dd.web.app/images/products/Grams%20%7C%20Lobia%20(%E0%A6%B2%E0%A6%AC%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE)%20%7C%201%20kg.jpeg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-sabut-moong-guta-mogu-whole-green-gram-1-kg-r21,Grams | Sabut Moong (গোটা মগু) | 1 kg,Grams | Sabut Moong (গোটা মগু) | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹120.,in stock,new,120.00 INR,https://1dd.web.app/?item=1dd-sabut-moong-guta-mogu-whole-green-gram-1-kg-r21,https://1dd.web.app/images/products/Grams%20%7C%20Sabut%20Moong%20(%E0%A6%97%E0%A7%8B%E0%A6%9F%E0%A6%BE%20%E0%A6%AE%E0%A6%97%E0%A7%81)%20%7C%201%20kg.jpeg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-white-peas-motor-safed-matar-1-kg-r18,Grams | White Peas (বগা মটৰ) | 1 kg,Grams | White Peas (বগা মটৰ) | 1 kg. Fresh quality grams & whole pulses available for fast 1-day home delivery across town at best price ₹60.,in stock,new,60.00 INR,https://1dd.web.app/?item=1dd-white-peas-motor-safed-matar-1-kg-r18,https://1dd.web.app/images/products/Grams%20%7C%20White%20Peas%20(%E0%A6%AC%E0%A6%97%E0%A6%BE%20%E0%A6%AE%E0%A6%9F%E0%A7%B0)%20%7C%201%20kg.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Grains, Rice & Cereal",
1dd-whole-carom-seeds-ajwain-100-g-r78,Guta Masala | Ajwain | 100 g,Guta Masala | Ajwain | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-whole-carom-seeds-ajwain-100-g-r78,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Ajwain%20%7C%20100%20g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-coriander-seeds-sabut-dhania-100-g-r76,Guta Masala | Dhania | 100 g,Guta Masala | Dhania | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹25.,in stock,new,25.00 INR,https://1dd.web.app/?item=1dd-whole-coriander-seeds-sabut-dhania-100-g-r76,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Dhania%20%7C%20100%20g.webp,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-garam-masala-cardamom-cinnamon-cloves-20g-r82,Guta Masala | Garam Masala | 20g,Guta Masala | Garam Masala | 20g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹10.,in stock,new,10.00 INR,https://1dd.web.app/?item=1dd-whole-garam-masala-cardamom-cinnamon-cloves-20g-r82,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Garam%20Masala%20%7C%2020g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-cumin-seeds-sabut-jeera-100-g-r75,Guta Masala | Jeera | 100 g,Guta Masala | Jeera | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-whole-cumin-seeds-sabut-jeera-100-g-r75,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Jeera%20%7C%20100%20g.jpeg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-cumin-seeds-sabut-jeera-100-g-r79,Guta Masala | Kala Jeera | 100 g,Guta Masala | Kala Jeera | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹40.,in stock,new,40.00 INR,https://1dd.web.app/?item=1dd-whole-cumin-seeds-sabut-jeera-100-g-r79,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Kala%20Jeera%20%7C%20100%20g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-fenugreek-seeds-methi-dana-100-g-r80,Guta Masala | Methi | 100 g,Guta Masala | Methi | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-whole-fenugreek-seeds-methi-dana-100-g-r80,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Methi%20%7C%20100%20g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-whole-fennel-seeds-saunf-100-g-r77,Guta Masala | Mouri | 100 g,Guta Masala | Mouri | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹25.,in stock,new,25.00 INR,https://1dd.web.app/?item=1dd-whole-fennel-seeds-saunf-100-g-r77,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Mouri%20%7C%20100%20g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-traditional-panch-phoron-5-spice-blend-100-g-r81,Guta Masala | Panchphoron | 100 g,Guta Masala | Panchphoron | 100 g. Fresh quality whole spices (guta masala) available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-traditional-panch-phoron-5-spice-blend-100-g-r81,https://1dd.web.app/images/products/Guta%20Masala%20%7C%20Panchphoron%20%7C%20100%20g.jpg,Daily Fresh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",
1dd-godrej-expert-rich-cr-me-hair-colour-natural-black-1-pack-r99,Hair Colour | Godrej | 1 pack,Hair Colour | Godrej | 1 pack. Fresh quality hair colour available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-godrej-expert-rich-cr-me-hair-colour-natural-black-1-pack-r99,https://1dd.web.app/images/products/Hair%20Colour%20%7C%20Godrej%20%7C%201%20pack.jpg,Godrej,Health & Beauty > Personal Care > Hair Care > Hair Color,
1dd-indica-easy-10-minute-shampoo-hair-colour-black-1-pack-r100,Hair Colour | Indica | 1 pack,Hair Colour | Indica | 1 pack. Fresh quality hair colour available for fast 1-day home delivery across town at best price ₹20.,in stock,new,20.00 INR,https://1dd.web.app/?item=1dd-indica-easy-10-minute-shampoo-hair-colour-black-1-pack-r100,https://1dd.web.app/images/products/Hair%20Colour%20%7C%20Indica%20%7C%201%20pack.jpg,Indica,Health & Beauty > Personal Care > Hair Care > Hair Color,
